color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,country,budget,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,title_year,gross_inflation,,,,
Color,Mick Jackson,84,104,81,612,Anne Heche,3000,47474112,Action,Don Cheadle,Volcano,58227,5062,Gaby Hoffmann,USA,90000000,643,5.4,1.85,2000,1997,75620492.53,,,,
Color,Jean-Pierre Jeunet,223,116,0,672,Michael Wincott,1000,47748610,Action,Gary Dourdan,Alien: Resurrection,170179,3090,Raymond Cruz,USA,75000000,720,6.3,2.35,0,1997,76057734.5,,,,
Color,Jan de Bont,79,121,101,202,Temuera Morrison,673,48068396,Action,Jason Patric,Speed 2: Cruise Control,60573,2027,Lois Chiles,USA,160000000,368,3.7,2.35,894,1997,76567114.74,,,,
Color,Ridley Scott,97,125,0,957,Demi Moore,10000,48154732,Action,Viggo Mortensen,G.I. Jane,60326,15569,John Michael Higgins,USA,50000000,2000,5.8,2.35,2000,1997,76704637.5,,,,
Color,David Fincher,157,129,21000,283,Armin Mueller-Stahl,495,48265581,Drama,Deborah Kara Unger,The Game,261069,1397,Charles Martinet,USA,50000000,294,7.8,2.35,25000,1997,76881206.49,,,,
Color,Clint Eastwood,76,121,16000,826,Mark Margolis,16000,50007168,Action,Clint Eastwood,Absolute Power,39529,19139,Scott Glenn,USA,50000000,1000,6.7,2.35,1000,1997,79655342.99,,,,
Color,Jonathan Mostow,72,93,84,263,M.C. Gainey,551,50129186,Action,Kathleen Quinlan,Breakdown,38399,1874,J.T. Walsh,USA,36000000,284,6.9,2.35,0,1997,79849702.84,,,,
Color,Jay Roach,129,68,116,481,Charles Napier,8000,53868030,Comedy,Will Ferrell,Austin Powers: International Man of Mystery,183425,10557,Robert Wagner,USA,17000000,503,7,2.35,0,1997,85805227.08,,,,
Color,Paul Verhoeven,192,129,719,423,Patrick Muldoon,660,54700065,Action,Jake Busey,Starship Troopers,221521,2031,Seth Gilliam,USA,105000000,475,7.2,1.85,0,1997,87130557.74,,,,
Color,Michael Caton-Jones,83,124,105,460,Bruce Willis,24000,54910560,Action,J.K. Simmons,The Jackal,88225,38227,Sophie Okonedo,USA,60000000,13000,6.3,2.35,0,1997,87465850.7,,,,
Color,Mark A.Z. Dippé,70,98,20,968,Frank Welker,2000,54967359,Action,Michael Jai White,Spawn,52805,7039,Miko Hughes,USA,40000000,2000,5.2,1.85,0,1997,87556324.61,,,,
Color,Don Bluth,78,94,383,753,Kelsey Grammer,4000,58297830,Adventure,Kirsten Dunst,Anastasia,86347,6017,Bernadette Peters,USA,50000000,808,7.1,2.35,0,1997,92861360.28,,,,
Color,Gary Fleder,83,115,39,685,Tony Goldwyn,11000,60491560,Crime,Morgan Freeman,Kiss the Girls,50653,14322,Tatyana Ali,USA,27000000,956,6.6,2.35,0,1997,96355705.64,,,,
Color,Taylor Hackford,117,136,138,9000,Al Pacino,18000,60984028,Drama,Keanu Reeves,The Devil's Advocate,259519,45271,Charlize Theron,USA,57000000,14000,7.5,2.35,11000,1997,97140147.33,,,,
Color,Phillip Noyce,64,116,176,84,Michael Byrne,192,61355436,Action,Alun Armstrong,The Saint,52136,475,Velibor Topic,USA,68000000,117,6.2,2.35,0,1997,97731755.15,,,,
Color,Luc Besson,173,126,0,10000,Bruce Willis,14000,63540020,Action,Milla Jovovich,The Fifth Element,343274,39319,Gary Oldman,France,93000000,13000,7.7,2.35,18000,1997,101211532,,,,
Color,Frank Oz,83,90,0,945,Wilford Brimley,19000,63826569,Comedy,Tom Selleck,In & Out,32416,23504,Lauren Ambrose,USA,35000000,957,6.3,1.85,0,1997,101667969.8,,,,
Color,Curtis Hanson,177,138,161,210,Matt McCoy,18000,64604977,Crime,Kevin Spacey,L.A. Confidential,414219,19129,Paul Guilfoyle,USA,35000000,398,8.3,2.35,11000,1997,102907879.2,,,,
Color,Luis Llosa,119,89,49,514,Eric Stoltz,2000,65557989,Action,Frank Welker,Anaconda,73539,3717,Kari Wuhrer,USA,45000000,902,4.6,2.35,0,1997,104425911.5,,,,
Color,Roger Donaldson,93,108,79,268,Grant Heslov,650,67155742,Action,Jamie Renée Smith,Dante's Peak,62271,1569,Tzi Ma,USA,116000000,293,5.8,2.35,0,1997,106970937.9,,,,
Color,Jim Gillespie,140,99,13,681,Sarah Michelle Gellar,45000,72219395,Horror,Muse Watson,I Know What You Did Last Summer,105585,50284,Anne Heche,USA,17000000,4000,5.6,2.35,0,1997,115036721.9,,,,
Color,Richard Donner,80,135,503,67,Alex McArthur,8000,76081498,Action,Julia Roberts,Conspiracy Theory,76099,8355,Michael Potts,USA,75000000,137,6.7,2.35,0,1997,121188582.8,,,,
Color,Les Mayfield,53,90,10,159,Jodi Benson,49000,92969824,Comedy,Robin Williams,Flubber,63625,50005,Sam Lloyd,USA,80000000,570,5.2,1.85,0,1997,148089634.2,,,,
Color,Robert Zemeckis,159,150,0,135,Tom Skerritt,11000,100853835,Drama,Matthew McConaughey,Contact,200556,12289,Larry King,USA,90000000,1000,7.4,2.35,15000,1997,160647905.9,,,,
Color,Simon West,139,123,165,744,Monica Potter,12000,101087161,Action,Steve Buscemi,Con Air,225282,15362,Dave Chappelle,USA,75000000,878,6.8,2.35,0,1997,161019565.9,,,,
Color,Wes Craven,195,120,0,221,Jada Pinkett Smith,865,101334374,Horror,Omar Epps,Scream 2,124941,2321,Kevin Williamson,USA,24000000,851,6.1,2.35,0,1997,161413346.1,,,,
Color,Sam Weisman,53,92,39,458,Abraham Benrubi,3000,105263257,Action,Brendan Fraser,George of the Jungle,56168,4518,Holland Taylor,USA,55000000,562,5.4,1.85,5000,1997,167671579.4,,,,
Color,Joel Schumacher,183,125,541,409,Vivica A. Fox,920,107285004,Action,Michael Gough,Batman & Robin,189855,2699,John Glover,USA,125000000,890,3.7,1.85,0,1997,170891976.7,,,,
Color,John Woo,155,138,610,805,CCH Pounder,12000,112225777,Action,Nicolas Cage,Face/Off,283967,17087,Joan Allen,USA,80000000,1000,7.3,2.35,11000,1997,178762027.9,,,,
Color,Roger Spottiswoode,160,119,55,387,Colin Salmon,811,125332007,Action,Vincent Schiavelli,Tomorrow Never Dies,149680,2958,Joe Don Baker,UK,110000000,766,6.5,2.35,0,1997,199638659.9,,,,
Color,P.J. Hogan,84,105,29,692,Christopher Masterson,8000,126805112,Comedy,Julia Roberts,My Best Friend's Wedding,98199,12344,Rupert Everett,USA,46000000,1000,6.3,2.35,0,1997,201985137.2,,,,
Color,Gus Van Sant,161,126,835,893,Matt Damon,49000,138339411,Drama,Robin Williams,Good Will Hunting,604904,63710,Minnie Driver,USA,10000000,13000,8.3,1.85,31000,1997,220357874.1,,,,
Color,James L. Brooks,156,139,274,285,Yeardley Smith,625,147637474,Comedy,Lupe Ontiveros,As Good as It Gets,224671,1474,Shirley Knight,USA,50000000,440,7.7,1.85,11000,1997,235168558.8,,,,
Color,Wolfgang Petersen,142,124,249,936,Gary Oldman,11000,172620724,Action,Harrison Ford,Air Force One,146134,23603,Dean Stockwell,USA,85000000,10000,6.4,2.35,0,1997,274963840.7,,,,
Color,Tom Shadyac,73,86,293,255,Swoosie Kurtz,509,181395380,Comedy,Maura Tierney,Liar Liar,220392,2070,Randall 'Tex' Cobb,USA,45000000,418,6.8,1.85,0,1997,288940801.6,,,,
Color,Steven Spielberg,177,129,14000,227,Richard Schiff,610,229074524,Action,Ariana Richards,The Lost World: Jurassic Park,278362,1635,Vanessa Lee Chester,USA,73000000,506,6.5,1.85,0,1997,364887885.2,,,,
Color,Barry Sonnenfeld,175,98,188,602,Rip Torn,10000,250147615,Adventure,Will Smith,Men in Black,403014,12998,Linda Fiorentino,USA,90000000,826,7.3,1.85,0,1997,398454758.9,,,,
Color,James Cameron,315,194,0,794,Kate Winslet,29000,658672302,Drama,Leonardo DiCaprio,Titanic,793059,45223,Gloria Stuart,USA,200000000,14000,7.7,2.35,26000,1997,1049184951,,,,
 Black and White,Shane Meadows,44,96,222,20,Annette Badland,5000,,Comedy,Bob Hoskins,24 7: Twenty Four Seven,2081,5535,Karl Collins,UK,,497,7.1,1.85,224,1997,0,,,,
Color,Michael Cohn,22,100,2,512,Chris Bauer,642,,Fantasy,David Conrad,Snow White: A Tale of Terror,8118,2170,Monica Keena,USA,26000000,638,6.3,1.85,0,1997,0,,,,
Color,Jennifer Wynne Farmer,2,107,0,236,Akima,752,10508,Drama,Irene Bedard,Naturally Native,103,1763,Max Gail,USA,700000,282,6.5,,102,1998,16481.25004,,,,
Color,Scott Ziehl,18,90,4,218,Jason London,919,13493,Drama,William Smith,Broken Vessels,531,2288,Brent David Fraser,USA,600000,711,6.6,1.85,51,1998,21163.06688,,,,
Color,John Hamburg,33,88,29,117,Michael Lerner,499,21210,Comedy,Harvey Fierstein,Safe Men,2735,1141,Josh Pais,USA,1000000,230,6.1,1.85,157,1998,33266.77896,,,,
Color,Sam Miller,31,93,12,15,Alan Williams,578,64359,Comedy,Rachel Griffiths,Among Giants,811,643,Rob Jarvis,UK,2500000,29,5.9,,108,1998,100943.7354,,,,
Color,Gary Sinyor,12,94,0,136,Frank Finlay,722,69582,Comedy,Sean Pertwee,Stiff Upper Lips,867,1477,Samuel West,UK,,338,6.4,1.85,109,1998,109135.7385,,,,
Color,Morgan J. Freeman,31,90,204,697,John Heard,1000,99147,Drama,Ethan Suplee,Desert Blue,1884,3207,Sara Gilbert,USA,2000000,697,6.2,1.85,69,1998,155506.8993,,,,
Color,Lance Mungia,51,91,4,0,Stephane Gauger,33,124494,Action,Jeffrey Falcon,Six-String Samurai,5613,36,Kim De Angelo,USA,2000000,3,6.7,1.85,0,1998,195262.347,,,,
Color,Jean-Marie Poiré,8,118,8,11,Philippe Nahon,106,146072,Comedy,Christian Clavier,Les couloirs du temps: Les visiteurs II,7147,182,Marie-Anne Chazel,France,140000000,56,6,2.35,136,1998,229106.3147,,,,
Color,David Leland,36,111,2,227,Catherine McCormack,735,146083,Drama,Anna Friel,The Land Girls,1591,1378,Steven Mackintosh,UK,,306,6.3,2.35,75,1998,229123.5677,,,,
Color,Alex Zamm,12,95,43,611,Raquel Welch,1000,306715,Comedy,Taylor Negron,Chairman of the Board,5143,5213,Larry Miller,USA,10000000,788,2.3,1.85,724,1998,481066.4832,,,,
Color,Deepa Mehta,34,110,375,59,Gulshan Grover,113,528972,Drama,Nandita Das,Earth,5639,371,Eric Peterson,India,,102,7.8,,522,1998,829664.9976,,,,
Color,Myles Berkowitz,32,87,0,153,Tom Ardavany,1000,536767,Biography,Tia Carrere,20 Dates,1622,1362,Robert McKee,USA,60000,184,5.3,1.85,30,1998,841891.0486,,,,
Color,Tim McCanlies,15,97,23,326,Michael O'Neill,982,565592,Comedy,Ethan Embry,"Dancer, Texas Pop. 81",2189,2580,Alexandra Holden,USA,,599,6.8,1.85,500,1998,887101.5579,,,,
Color,Robert Towne,28,117,162,745,Monica Potter,2000,777423,Biography,Billy Burke,Without Limits,5841,4351,Billy Crudup,USA,25000000,878,7.2,2.35,942,1998,1219347.435,,,,
Color,John Turturro,36,119,0,54,Ben Gazzara,816,836641,Drama,Beverly D'Angelo,Illuminata,1402,1585,George DiCenzo,Spain,,623,6.2,1.85,74,1998,1312227.78,,,,
Color,Salvador Carrasco,39,106,22,10,Zaide Silvia Gutiérrez,174,886410,Drama,Elpidia Carrillo,La otra conquista,1024,222,Damián Delgado,Mexico,3500000,16,6.8,1.85,140,1998,1390287.861,,,,
Color,Marc Levin,16,100,12,6,Saul Williams,245,982214,Drama,Sonja Sohn,Slam,1976,295,Bonz Malone,USA,1000000,38,7.2,1.85,603,1998,1540551.439,,,,
Color,Todd Haynes,103,124,162,277,Eddie Izzard,23000,1043487,Drama,Christian Bale,Velvet Goldmine,27766,24102,Janet McTeer,UK,,776,7,1.85,0,1998,1636654.945,,,,
Color,Thomas Vinterberg,98,105,346,141,Paprika Steen,280,1647780,Drama,Ulrich Thomsen,The Celebration,65951,821,Trine Dyrholm,Denmark,1300000,278,8.1,1.33,5000,1998,2584457.003,,,,
Color,Carlos Saura,35,115,98,4,Juan Luis Galiardo,341,1687311,Drama,M�a Maestro,Tango,2412,371,Miguel Ángel Solá,Spain,700000000,26,7.2,2,539,1998,2646459.315,,,,
Color,David Dobkin,49,104,71,168,Vince Vieluf,1000,1789892,Comedy,Janeane Garofalo,Clay Pigeons,9494,1795,Kevin Rahm,Germany,8000000,261,6.6,1.85,515,1998,2807352.264,,,,
Color,Jake Kasdan,81,116,52,102,Ryan O'Neal,624,1980338,Comedy,Kim Dickens,Zero Effect,12366,1209,Angela Featherstone,USA,5000000,385,7,1.85,507,1998,3106056.884,,,,
Color,Vincent Gallo,106,110,787,642,Vincent Gallo,1000,2365931,Comedy,Anjelica Huston,Buffalo '66,36657,4762,Jan-Michael Vincent,USA,1500000,787,7.5,1.85,0,1998,3710839.397,,,,
Color,Peter Chelsom,57,100,23,545,Elden Henson,1000,2643689,Comedy,Kieran Culkin,The Mighty,10499,2283,Gena Rowlands,USA,,577,7.3,1.85,0,1998,4146488.335,,,,
Color,Todd Solondz,148,134,377,812,Jon Lovitz,22000,3000000,Comedy,Philip Seymour Hoffman,Happiness,55329,36859,Dylan Baker,USA,3000000,11000,7.8,1.85,0,1998,4705343.558,,,,
 Black and White,Darren Aronofsky,138,84,0,194,Clint Mansell,1000,3216970,Drama,Mark Margolis,Pi,142619,2065,Stanley B. Herman,USA,60000,512,7.5,1.66,24000,1998,5045649.689,,,,
Color,Brad Anderson,38,104,122,458,Callie Thorne,22000,3386698,Comedy,Philip Seymour Hoffman,Next Stop Wonderland,4195,23461,Holland Taylor,USA,1000000,472,6.7,1.85,392,1998,5311859.206,,,,
Color,Guy Ritchie,116,120,0,452,Jason Flemyng,26000,3650677,Comedy,Jason Statham,"Lock, Stock and Two Smoking Barrels",414976,28294,Dexter Fletcher,UK,960000,1000,8.2,1.85,21000,1998,5725896.502,,,,
Color,Steve Boyum,18,93,9,254,M.C. Gainey,23000,4308981,Comedy,Paul Walker,Meet the Deedles,2265,24436,A.J. Langer,USA,24000000,284,3.9,,839,1998,6758411.997,,,,
Color,Mark Herman,64,97,39,286,Annette Badland,1000,4595000,Comedy,Jim Broadbent,Little Voice,13892,2103,Brenda Blethyn,UK,,497,7,1.85,915,1998,7207017.883,,,,
 Black and White,Woody Allen,114,113,11000,99,Aleksa Palladino,537,5032496,Comedy,Melanie Griffith,Celebrity,20576,943,Greg Mottola,USA,12000000,255,6.3,1.66,652,1998,7893207.545,,,,
Color,Tamara Jenkins,60,91,84,572,Kevin Corrigan,1000,5480318,Comedy,Natasha Lyonne,Slums of Beverly Hills,9427,2691,Jessica Walter,USA,5000000,778,6.6,1.85,462,1998,8595593,,,,
Color,Walter Salles,71,113,179,11,Matheus Nachtergaele,119,5595428,Drama,Fernanda Montenegro,Central Station,28951,167,Othon Bastos,Brazil,2900000,14,8,2.35,0,1998,8776137.032,,,,
 Black and White,Bill Condon,127,105,386,248,Lynn Redgrave,3000,6390032,Biography,Brendan Fraser,Gods and Monsters,24977,4238,Kevin J. O'Connor,USA,3500000,258,7.5,2.35,0,1998,10022431.97,,,,
 Black and White,Tony Kaye,162,101,194,602,Beverly D'Angelo,1000,6712241,Crime,Ethan Suplee,American History X,782437,3858,Stacy Keach,USA,7500000,816,8.6,1.85,35000,1998,10527799.98,,,,
Color,Chris Eyre,56,89,149,580,Irene Bedard,912,6719300,Comedy,Michael Greyeyes,Smoke Signals,8224,3163,Gary Farmer,Canada,2000000,752,7.2,1.85,0,1998,10538871.66,,,,
 Black and White,Tom Tykwer,181,81,670,34,Ludger Pistor,486,7267324,Crime,Moritz Bleibtreu,Run Lola Run,161471,623,Armin Rohde,Germany,3500000,37,7.8,1.85,0,1998,11398418.72,,,,
Color,Daisy von Scherler Mayer,23,84,18,744,Jada Pinkett Smith,1000,8026971,Comedy,LL Cool J,Woo,1520,3352,Dave Chappelle,USA,13000000,851,3.8,,204,1998,12589885.43,,,,
Color,François Girard,94,130,63,2,Clotilde Mollet,24,9473382,Drama,Johannes Silberschneider,The Red Violin,26832,29,Carlo Cecchi,Canada,10000000,3,7.7,1.85,0,1998,14858505.66,,,,
Color,Peter Berg,100,100,532,711,Daniel Stern,4000,9801782,Comedy,Jon Favreau,Very Bad Things,39331,6046,Jeanne Tripplehorn,USA,10000000,796,6.3,1.85,0,1998,15373583.93,,,,
Color,Bob Saget,32,82,799,294,Jack Warden,721,9975684,Comedy,Don Rickles,Dirty Work,20033,1805,Traylor Howard,Canada,13000000,359,6.4,1.85,679,1998,15646340.15,,,,
Color,Hark Tsui,67,91,85,105,Lela Rochon,635,10076136,Action,Paul Sorvino,Knock Off,11512,1352,Ray Nicholas,Aruba,35000000,316,4.8,2.35,471,1998,15803893.87,,,,
Color,Richard Linklater,63,123,0,324,Lew Temple,11000,10297897,Action,Matthew McConaughey,The Newton Boys,8309,11969,Dwight Yoakam,USA,27000000,597,6,2.35,315,1998,16151714.44,,,,
Color,Michael Martin,19,93,0,78,Master P,625,10305534,Comedy,Joe Estevez,I Got the Hook Up,1721,987,Anthony Johnson,USA,3500000,118,3.9,1.85,280,1998,16163692.67,,,,
Color,Dean Parisot,42,91,23,629,Jake Busey,925,10443316,Comedy,Catherine O'Hara,Home Fries,7159,2913,Shelley Duvall,USA,15000000,660,5,1.85,247,1998,16379796.56,,,,
Color,Terry Gilliam,156,118,0,551,Michael Jeter,40000,10562387,Adventure,Johnny Depp,Fear and Loathing in Las Vegas,213226,43105,Ellen Barkin,USA,18500000,693,7.7,2.35,15000,1998,16566553.21,,,,
Color,Steve Gomer,24,76,9,47,Kyla Pratt,595,11144518,Adventure,Trevor Morgan,Barney's Great Adventure,2724,1139,Shirley Douglas,Canada,15000000,417,2.8,1.85,436,1998,17479595.33,,,,
Color,Stephen Sommers,106,106,208,855,Jason Flemyng,3000,11146409,Action,Djimon Hounsou,Deep Rising,26551,6558,Wes Studi,USA,45000000,1000,6,2.35,0,1998,17482561.26,,,,
Color,Peter Howitt,88,99,29,161,Kevin McNally,711,11883495,Comedy,Jeanne Tripplehorn,Sliding Doors,52805,1462,John Lynch,UK,9000000,427,6.8,1.85,0,1998,18638642.22,,,,
Color,Stephen Herek,56,114,65,440,Morgan Fairchild,743,12065985,Comedy,Kelly Preston,Holy Man,16260,2367,Eric McCormack,USA,60000000,730,4.9,2.35,296,1998,18924868.26,,,,
Color,Richard LaGravenese,24,100,98,604,Eddie Cibrian,1000,12902790,Comedy,Holly Hunter,Living Out Loud,4052,3250,Jenette Goldstein,USA,12000000,849,6.6,2.35,242,1998,20237353.27,,,,
Color,Alex Proyas,222,111,295,531,William Hurt,3000,14337579,Action,Rufus Sewell,Dark City,156929,4696,Bruce Spence,Australia,27000000,882,7.7,2.35,14000,1998,22487745,,,,
Color,Paul W.S. Anderson,67,99,545,533,Sean Pertwee,933,14567883,Action,Connie Nielsen,Soldier,44248,2542,Jason Scott Lee,UK,75000000,722,6,2.35,0,1998,22848964.81,,,,
Color,Alan Cohn,37,96,0,654,Linda Cardellini,3000,15062898,Comedy,Alyson Hannigan,Dead Man on Campus,11729,6861,Poppy Montgomery,USA,14000000,2000,6,1.85,645,1998,23625370.02,,,,
Color,Sam Raimi,125,121,0,244,Bridget Fonda,989,16311763,Crime,Gary Cole,A Simple Plan,50656,2365,Chelcie Ross,UK,17000000,888,7.5,1.85,0,1998,25584149.65,,,,
Color,Mark Christopher,63,121,15,812,Ellen Albertini Dow,4000,16574731,Drama,Salma Hayek,54,27675,6910,Sela Ward,USA,13000000,957,5.8,1.85,0,1998,25996601.25,,,,
Color,Wes Anderson,179,93,0,766,Connie Nielsen,13000,17096053,Comedy,Bill Murray,Rushmore,134458,15716,Olivia Williams,USA,9000000,933,7.7,2.35,5000,1998,26814267.62,,,,
Color,Tamra Davis,40,82,33,475,Harland Williams,744,17278980,Comedy,Dave Chappelle,Half Baked,48225,2400,Clarence Williams III,USA,8000000,503,6.7,1.85,0,1998,27101179.08,,,,
Color,David Nutter,96,84,119,918,Ethan Embry,989,17411331,Horror,Bruce Greenwood,Disturbing Behavior,17328,4660,Katharine Isabelle,Australia,15000000,982,5.5,1.85,673,1998,27308764.72,,,,
Color,Joel Coen,249,117,0,12000,Jeff Bridges,22000,17439163,Comedy,Philip Seymour Hoffman,The Big Lebowski,537419,47728,Steve Buscemi,USA,15000000,12000,8.2,1.85,35000,1998,27352417.76,,,,
Color,Mark Steven Johnson,60,114,160,271,Jan Hooks,1000,18252684,Comedy,Oliver Platt,Simon Birch,18366,1816,Dana Ivey,USA,30000000,367,6.9,1.85,0,1998,28628383.03,,,,
Color,George Miller,61,97,750,231,Elizabeth Daily,1000,18318000,Adventure,Adam Goldberg,Babe: Pig in the City,24868,2521,Glenne Headly,Australia,80000000,971,5.8,1.85,964,1998,28730827.77,,,,
Color,Antoine Fuqua,105,96,845,488,Clifton Collins Jr.,978,18967571,Action,Mira Sorvino,The Replacement Killers,23345,3072,Patrick Kilpatrick,USA,30000000,968,6.1,2.35,629,1998,29749646.01,,,,
Color,Mikael Salomon,79,97,13,695,Minnie Driver,11000,19819494,Action,Morgan Freeman,Hard Rain,26893,13628,Randy Quaid,USA,70000000,893,5.8,2.35,815,1998,31085842.81,,,,
Color,John Carpenter,114,104,0,877,Cary-Hiroyuki Tagawa,2000,20241395,Action,Sheryl Lee,Vampires,42664,5123,Maximilian Schell,USA,20000000,1000,6.1,2.35,0,1998,31747572.52,,,,
Color,Spike Lee,48,136,0,3000,Milla Jovovich,18000,21554585,Drama,Denzel Washington,He Got Game,36108,37315,Rosario Dawson,USA,25000000,14000,6.9,1.85,0,1998,33807242.56,,,,
Color,Frederik Du Chau,34,86,7,795,Jaleel White,10000,22717758,Adventure,Gary Oldman,The Magic Sword: Quest for Camelot,11156,14275,Eric Idle,USA,40000000,908,6.2,1.85,0,1998,35631618.75,,,,
Color,Jonathan Demme,78,172,438,466,Kimberly Elise,852,22843047,Drama,Oprah Winfrey,Beloved,6082,2397,Hill Harper,USA,55000000,637,5.9,1.85,853,1998,35828128.02,,,,
Color,John Dahl,128,121,131,599,Martin Landau,13000,22905674,Crime,Matt Damon,Rounders,121676,14890,Gretchen Mol,USA,12000000,940,7.4,2.35,0,1998,35926355.2,,,,
Color,Ice Cube,22,104,0,498,Monica Calhoun,1000,23031390,Comedy,Bernie Mac,The Players Club,4345,2868,Chrystale Wilson,USA,4500000,597,5.6,1.85,575,1998,36123534.19,,,,
Color,Carl Franklin,64,127,73,433,William Hurt,11000,23209440,Drama,Meryl Streep,One True Thing,9283,12785,Tom Everett Scott,USA,30000000,882,7,1.85,592,1998,36402796.33,,,,
Color,Kirk Jones,94,91,52,482,David Kelly,773,24788807,Comedy,James Nesbitt,Waking Ned Devine,21245,1965,Fionnula Flanagan,UK,3000000,588,7.4,2.35,0,1998,38879951.11,,,,
Color,Harry Elfont,76,100,4,678,Lauren Ambrose,982,25339117,Comedy,Ethan Embry,Can't Hardly Wait,37885,4259,Charlie Korsmo,USA,10000000,945,6.5,1.85,0,1998,39743083.65,,,,
Color,Warren Beatty,110,108,631,95,Kirk Baltz,631,26525834,Comedy,Warren Beatty,Bulworth,21998,1023,Graham Beckel,USA,30000000,199,6.8,1.85,0,1998,41604387.38,,,,
Color,Kirk Wong,57,91,6,459,Elliott Gould,904,27052167,Action,Bokeem Woodbine,The Big Hit,24834,3353,Antonio Sabato Jr.,USA,13000000,471,6.1,1.85,934,1998,42429913.24,,,,
Color,Nicholas Hytner,65,111,13,106,Tim Daly,818,29106737,Comedy,Liam Aiken,The Object of My Affection,15582,1450,Kali Rocha,USA,15000000,511,6,1.85,849,1998,45652399.15,,,,
Color,John McNaughton,69,115,39,254,Robert Wagner,13000,29753944,Crime,Bill Murray,Wild Things,90677,14275,Jeff Perry,USA,20000000,481,6.5,2.35,0,1998,46667509.58,,,,
Color,Shekhar Kapur,141,124,159,240,John Gielgud,288,30012990,Biography,Fanny Ardant,Elizabeth,75973,1006,Eric Cantona,UK,25000000,249,7.5,1.85,0,1998,47073809.72,,,,
Color,John Fortenberry,63,82,12,281,Chris Kattan,8000,30324946,Comedy,Will Ferrell,A Night at the Roxbury,48458,9271,Dan Hedaya,USA,17000000,357,6.2,1.85,0,1998,47563096.44,,,,
Color,Ronny Yu,114,89,31,71,Park Bench,285,32368960,Comedy,Alexis Arquette,Bride of Chucky,39768,667,Vince Corazza,Canada,25000000,81,5.3,1.85,0,1998,50769025.81,,,,
Color,Harold Becker,79,111,17,652,Miko Hughes,13000,32940507,Action,Bruce Willis,Mercury Rising,54314,16536,Carrie Preston,USA,60000000,968,6.1,2.35,0,1998,51665467.47,,,,
Color,Harold Becker,79,111,17,652,Miko Hughes,13000,32940507,Action,Bruce Willis,Mercury Rising,54316,16537,Carrie Preston,USA,60000000,969,6.1,2.35,0,1998,51665467.47,,,,
Color,Terrence Malick,156,215,0,463,Miranda Otto,648,36385763,Drama,Nick Stahl,The Thin Red Line,138941,1937,Dash Mihok,USA,52000000,568,7.6,2.35,0,1998,57069171.85,,,,
Color,Barry Levinson,108,134,272,215,James Pickens Jr.,548,36976367,Drama,Peter Coyote,Sphere,81611,1044,Huey Lewis,USA,75000000,270,6,2.35,0,1998,57995503.42,,,,
Color,Steven Soderbergh,158,123,0,23,Albert Brooks,3000,37339525,Crime,Don Cheadle,Out of Sight,71708,3768,Keith Hudson,USA,48000000,745,7,1.85,0,1998,58565097.81,,,,
Color,Kevin Rodney Sullivan,29,124,8,232,James Pickens Jr.,508,37672350,Comedy,Richard Lawson,How Stella Got Her Groove Back,5427,1660,Barry Shabaka Henley,USA,20000000,270,5.5,1.85,0,1998,59087116.47,,,,
Color,Jamie Blanks,101,99,9,648,Loretta Devine,975,38048637,Horror,Alicia Witt,Urban Legend,47814,3500,Julian Richings,USA,14000000,912,5.5,2.35,0,1998,59677303,,,,
Color,Mike Nichols,117,143,0,210,Adrian Lester,509,38966057,Comedy,Maura Tierney,Primary Colors,23940,1409,Paul Guilfoyle,France,65000000,317,6.7,2.35,688,1998,61116228.43,,,,
Color,Danny Cannon,125,100,41,970,Mekhi Phifer,45000,39989008,Horror,Muse Watson,I Still Know What You Did Last Summer,55398,49847,Bill Cobbs,USA,24000000,1000,4.6,2.35,891,1998,62720673.73,,,,
Color,Robert Rodriguez,154,104,0,1000,Salma Hayek,4000,40064955,Horror,Jordana Brewster,The Faculty,92074,12170,Clea DuVall,USA,15000000,4000,6.4,1.85,0,1998,62839792.64,,,,
Color,Edward Zwick,120,116,380,774,Bruce Willis,18000,40932372,Action,Denzel Washington,The Siege,58023,32563,Mark Valley,USA,70000000,13000,6.3,2.35,0,1998,64200290.97,,,,
Color,John Frankenheimer,149,122,287,135,Natascha McElhone,22000,41609593,Action,Robert De Niro,Ronin,145422,24270,Michael Lonsdale,UK,55000000,2000,7.3,2.35,0,1998,65262476.8,,,,
Color,F. Gary Gray,68,140,473,294,Michael Cudlitz,18000,44484065,Action,Kevin Spacey,The Negotiator,107227,20152,Siobhan Fallon Hogan,Germany,50000000,822,7.3,2.35,3000,1998,69770936.23,,,,
Color,Martin Brest,98,178,102,551,Brad Pitt,12000,44606335,Drama,Anthony Hopkins,Meet Joe Black,169023,23950,Jake Weber,USA,90000000,11000,7.1,1.85,10000,1998,69962710.35,,,,
Color,Griffin Dunne,92,104,165,944,Dianne Wiest,1000,46611204,Comedy,Goran Visnjic,Practical Magic,55749,4294,Stockard Channing,USA,48000000,967,6.1,2.35,0,1998,73107242.83,,,,
